ID,STATE_CODE,CITY,LAT,LONG,POP
4046255,AL,Bay Minette,30.88296,-87.77305,9118
4046274,TX,Edna,28.97859,-96.64609,5792
4046319,AL,Bayou La Batre,30.40352,-88.24852,2621
4046332,TX,Henderson,32.15322,-94.79938,13529
4046430,TX,Natalia,29.18968,-98.86253,1490
4046434,TX,New Falcon,26.63866,-99.09559,191
4046474,TX,Rankin,32.2057,-96.70666,718
4046499,AL,Bear Creek,34.27482,-87.70058,1047
4046538,TX,South Toledo Bend,31.15324,-93.60462,524
4046667,AL,Beatrice,31.73349,-87.20471,285
4046704,VA,Fort Hunt,38.73289,-77.05803,16045
4046734,VA,Hallwood,37.87763,-75.58909,204
4046820,VA,Nelsonia,37.81985,-75.58715,523
4046890,VA,Sperryville,38.65707,-78.22611,342
4046907,AL,Beaverton,33.93122,-88.02031,187
4046946,VA,Yorktown,37.23858,-76.50894,195
4047028,WV,Hambleton,39.08205,-79.64534,226
4047094,WV,New Richmond,37.57011,-81.48872,238
4047198,AL,Brighton,33.43428,-86.94721,2862
4047199,AL,Belgreen,34.47482,-87.86642,129
4047204,AL,Akron,32.87652,-87.74251,337
4047225,AL,Belk,33.64761,-87.93141,210
4047321,AL,Bellamy,32.44903,-88.13363,543
4047357,AL,Bellefontaine,30.49353,-88.10361,608
4047404,AL,Plateau,30.73562,-88.06063,2000
4047424,AR,East Camden,33.60789,-92.74016,862
4047464,AL,Colony,33.94566,-86.90167,385
4047474,AL,Wilton,33.07873,-86.88166,687
4047540,AR,Cove,34.43511,-94.41133,373
4047572,AR,Guy,35.32536,-92.33432,718
4047658,AR,Pollard,36.43089,-90.26843,208
4047692,AR,Thornton,33.779,-92.49182,398
4047719,AL,Benton,32.30681,-86.81776,46
4047734,DE,Ocean View,38.54511,-75.08907,2035
4047827,AL,Berry,33.65983,-87.60001,1113
4047852,FL,Matlacha,26.6298,-82.07092,677
4047906,FL,Trinity,28.18085,-82.68177,10907
4047914,FL,Villas,26.55035,-81.8687,11569
4048023,AL,Bessemer,33.40178,-86.95444,26730
4048084,GA,Lenox,31.27158,-83.46488,852
4048094,GA,Patterson,31.38744,-82.14012,751
4048270,IL,LaPlace,39.80004,-88.71757,259
4048332,IN,Aurora,39.057,-84.90134,3701
4048388,IN,New Pekin,38.50506,-86.01692,1378
4048408,IN,Troy,37.99533,-86.79777,371
4048446,KY,Fairview,36.84338,-87.30389,286
4048466,KS,Severance,39.76722,-95.24998,93
4048468,KS,Prairie View,39.83251,-99.57261,128
4048488,KS,Stockton,39.43807,-99.2651,1322
4048512,KY,Chaplin,37.89784,-85.22134,418
4048514,KY,Broeck Pointe,38.29563,-85.58607,281
4048662,KY,Paducah,37.08339,-88.60005,24864
4048794,LA,Dixie Inn,32.59515,-93.3385,263
4048850,LA,Monticello,32.59653,-91.394,4718
4048888,LA,Red Chute,32.55598,-93.61323,6261
4048920,LA,Sun,30.64908,-89.89257,483
4049008,MD,Ernstville,39.63287,-78.02667,56
4049018,MD,Fairview,39.71232,-77.84305,76
4049032,MD,Jessup,39.14927,-76.77525,7137
4049046,MD,McCoole,39.44648,-78.97225,511
4049120,MO,Amoret,38.2553,-94.58773,184
4049182,MO,Cowgill,39.55918,-93.92688,180
4049194,MO,Gordonville,37.31116,-89.67926,400
